progreso,ritmo,tipo
19,6.08943232228,3
19,6.01494491795,3
19,5.46086363386,3
19,6.91784601569,3
19,6.81406812016,3
19,5.83127007261,3
19,6.26845179234,3
20,6.15210459093,3
20,6.07082897053,3
20,5.47997639621,3
20,5.27950026503,3
20,5.64088823409,3
20,5.66681341226,3
20,5.88048856353,3
20,6.14750329595,3
20,6.50123912355,3
21,6.32046824987,3
21,5.31727860645,3
21,5.13610194507,3
21,5.10405012433,3
21,5.88475597616,3
21,6.15874482094,3
21,6.01549232519,3
21,6.45685225732,3
21,6.62432397514,3
21,7.19016891749,3
22,6.17724948124,3
22,6.3933990928,3
22,5.28583279416,3
22,4.75476314094,3
22,5.33067218068,3
22,4.94943913498,3
22,5.37898361779,3
22,5.24330250183,3
22,7.01039299297,3
22,5.52887827407,3
23,5.42892244652,3
23,6.11316580066,3
23,6.36520824643,3
23,5.86501835629,3
23,5.60363278527,3
23,6.48101063679,3
23,6.39149186756,3
23,5.54110288662,3
23,5.29382788959,3
23,5.42889863813,3
24,6.6337356972,3
24,7.25543724264,3
24,5.43353290077,3
24,5.55079773309,3
24,5.64536555808,3
24,6.56130970083,3
24,6.53734036466,3
24,5.46820213069,3
24,5.42374329373,3
24,6.04695225693,3
25,6.39492322798,3
25,7.24862563347,3
25,5.22952737994,3
25,4.96051859461,3
25,5.52410953112,3
25,5.781331917,3
25,5.99355419837,3
26,5.45028200857,3
26,5.2251438839,3
26,5.22514480901,3
26,5.54109226086,3
26,6.32233016359,3
26,6.99091772939,3
26,9.37255694024,3
26,5.84297448687,3
26,5.97517650464,3
26,5.94363053203,3
27,7.24976755625,3
27,6.5830671046,3
27,5.59955059508,3
27,5.7753743745,3
27,5.50153231418,3
27,6.15469625203,3
27,6.16851224121,3
27,6.21405043673,3
28,6.22471864252,3
28,5.94800221249,3
28,6.97697155288,3
28,6.91507605706,3
28,6.37565691507,3
28,7.19624704627,3
28,6.70943566728,3
28,6.43963322406,3
28,6.13899459707,3
28,5.80117370649,3
29,5.50707762267,3
29,4.99231939988,3
29,5.77835765877,3
29,5.72495301048,3
29,6.23446359332,3
29,6.20272750232,3
29,6.68265086528,3
29,6.70941535997,3
29,6.26466092202,3
30,4.74679884191,3
30,5.10802251876,3
30,5.21304384693,3
30,5.86937011695,3
30,5.59179409971,3
30,5.8901511935,3
30,5.9505672219,3
30,6.24888225097,3
30,6.38111880966,3
31,6.41071519882,3
31,5.79388845774,3
31,6.56231843893,3
31,5.82421398058,3
31,6.13176140461,3
31,5.83419924468,3
31,6.54290901439,3
31,6.47422221709,3
31,4.65646272827,3
31,5.01797743841,3
32,5.4407512848,3
32,5.37071661481,3
32,5.81666697543,3
32,4.96528869232,3
32,5.31657169299,3
32,5.7088585274,3
32,6.23922122309,3
32,5.85389521787,3
32,5.60489306847,3
33,5.822771853,3
33,5.88033272571,3
33,6.73087727082,3
33,6.77369958985,3
33,6.3603011664,3
33,4.60052192917,3
33,6.45556387477,3
33,5.33227189814,3
34,5.85357280973,3
34,6.98974901612,3
34,6.96418672521,3
34,5.92539585279,3
34,5.42128032548,3
34,5.50658621102,3
34,5.60753902001,3
34,5.42884388726,3
34,5.42884575186,3
34,5.38018480421,3
35,6.43961713795,3
35,5.77917579578,3
35,5.71003818111,3
35,5.69912459966,3
35,6.06064883601,3
35,6.2685415016,3
35,6.13407564251,3
35,5.82832261395,3
35,6.22169919715,3
36,5.43050146676,3
36,6.24347918513,3
36,6.9180400168,3
36,7.08508736881,3
36,6.13890598662,3
36,6.0169041406,3
36,6.24870313285,3
36,6.11229384853,3
36,6.31914796597,3
36,6.65337275024,3
37,6.10535681705,3
37,5.77045864987,3
37,5.56829529963,3
37,5.39307695397,3
37,5.90006505465,3
37,5.87608730677,3
37,5.96666945734,3
37,5.45733839877,3
37,6.21025848328,3
38,5.9364862213,3
38,5.88057745052,3
38,6.07419557949,3
38,5.64846245581,3
38,6.91809936927,3
38,6.44946393471,3
38,6.12858439243,3
38,5.57038354836,3
38,6.48452780091,3
39,6.20164492157,3
39,6.06464514615,3
39,5.64352536638,3
39,5.99551966786,3
39,5.35923507146,3
39,5.86974130984,3
39,6.73592377179,3
39,8.41054467565,3
39,6.55440372645,3
39,6.05527007503,3
40,6.54077705572,3
40,5.94862768639,3
40,5.45788201444,3
40,6.19153054204,3
40,6.39559165027,3
40,6.26473135264,3
40,5.80452557936,3
40,5.57067539258,3
40,5.92570834739,3
41,5.82218106069,3
41,5.87372183988,3
41,5.26443792389,3
41,5.28685336424,3
41,4.77557448361,3
41,4.45322349736,3
41,5.70307711727,3
41,5.77159002339,3
42,6.5819176999,3
42,5.5908197987,3
42,4.78892721079,3
42,5.33539622789,3
43,5.78408961932,3
43,5.52550452786,3
43,6.56347106014,3
43,7.56607098989,3
43,5.18815953203,3
43,5.82433545168,3
43,5.42651556229,3
43,6.32912150624,3
43,5.25757963082,3
43,5.39198184623,3
44,4.48519510082,3
44,4.50477519791,3
44,4.94566043392,3
44,5.43014071785,3
44,4.41828211237,3
44,6.49749806052,3
44,7.01948593389,3
44,7.63133163433,3
44,6.15967477686,3
45,5.74047494095,3
45,5.61541587644,3
45,5.92917657026,3
45,6.07424330724,3
45,5.46342757605,3
45,4.39768747505,3
45,6.94364219786,3
45,6.00884400473,3
45,5.21748099905,3
46,7.95684592015,3
46,5.30186873761,3
46,4.1839929172,3
46,4.70737338406,3
46,4.7733890577,3
46,6.12090367418,3
46,7.99210204704,3
46,6.39151701919,3
46,6.11692076407,3
46,5.98837919024,3
47,5.21762311236,3
47,5.30963054234,3
47,5.63251887384,3
47,6.46257265017,3
47,6.25524560175,3
47,10.6278379345,3
47,7.03429252027,3
47,5.28919391904,3
47,8.98943921745,3
48,6.20993753181,3
48,6.15078447492,3
48,6.33934039079,3
48,5.97771949254,3
48,6.41278793108,3
48,5.81003224558,3
48,5.90434681283,3
48,5.89374076844,3
48,6.64786971717,3
48,6.24681236363,3
49,6.58342100014,3
49,6.32553063131,3
49,7.11815729341,3
49,6.40622077659,3
49,5.93702037671,3
49,5.62741666536,3
49,5.81671473108,3
49,6.10154858957,3
49,6.68752251986,3
50,6.12863645196,3
50,6.55790281058,3
50,5.48524579466,3
50,5.93601431129,3
50,5.27258546913,3
50,6.12299835831,3
50,4.74177661757,3
51,3.63788982639,3
51,4.55387920502,3
51,6.02133952948,3
51,6.58018145447,3
51,6.67194384919,3
51,6.31920741351,3
51,7.5186860277,3
51,7.79162274026,3
51,6.67458303175,3
51,4.87167437831,3
52,5.37632515409,3
52,5.45681966182,3
52,7.3053153988,3
52,6.84931002148,3
52,6.49555738565,3
52,5.7054347365,3
52,5.31387729577,3
52,5.46142922631,3
52,5.7485430255,3
52,5.90157816416,3
53,5.91428009312,3
53,6.34386485653,3
53,6.68441266016,3
53,5.23693172658,3
53,5.15966778402,3
53,5.12177669074,3
53,5.47374358743,3
53,5.46805688228,3
53,5.58011142026,3
53,5.16306836518,3
54,5.4012106227,3
54,4.92801763137,3
54,5.76051190285,3
54,6.27110361923,3
54,6.58167258622,3
54,6.40352770168,3
54,5.97783357746,3
54,5.74282980091,3
54,5.72301032667,3
55,5.38387339571,3
55,5.8850956638,3
55,6.79635874317,3
55,7.84525470071,3
55,4.96031365894,3
55,6.09707804452,3
55,5.19869722681,3
55,6.30055304685,3
55,8.29870065425,3
55,5.29239997714,3
56,4.64046712366,3
56,5.91607011533,3
56,6.77454541555,3
56,6.68486522556,3
56,6.41656661664,3
56,4.91204013259,3
56,4.30917399881,3
56,5.30626605973,3
56,5.90964669244,3
57,6.69025851875,3
57,6.41515293282,3
57,5.70889101506,3
57,5.69971386452,3
57,5.11282843461,3
57,5.56516387564,3
57,6.18607983375,3
57,5.84295744931,3
57,5.83423753134,3
58,5.68005528392,3
58,6.27468062142,3
58,5.86132623251,3
58,7.05584325072,3
58,5.37347718961,3
58,4.10969011331,3
58,6.19600519514,3
58,14.0383881256,3
59,4.8674545235,3
59,6.91799268327,3
59,5.98644608228,3
59,6.41003203081,3
59,7.01645676412,3
59,5.97047047128,3
59,5.20279639902,3
59,3.10875177697,3
59,5.94858166875,3
60,6.98987603628,3
60,6.32544803595,3
60,5.74883447651,3
60,6.04533018837,3
60,6.45289175393,3
60,6.15205442073,3
60,6.14484533454,3
60,5.41818163674,3
60,5.2143120765,3
61,7.75509880914,3
61,6.63411806077,3
61,5.63707645245,3
61,5.65972154768,3
61,5.70077015612,3
61,5.97610678122,3
61,6.9244578167,3
61,7.34232026502,3
61,7.4735857814,3
61,5.90830843887,3
62,5.89016325652,3
62,5.85521589065,3
62,5.5714592582,3
62,6.0766067092,3
62,8.10039957374,3
62,5.37384532037,3
62,4.73117005614,3
62,5.34561206703,3
62,5.30941912181,3
63,6.11489130814,3
63,6.18017079315,3
63,5.80282588051,3
63,6.26955324978,3
63,6.63114983359,3
63,6.64793879083,3
63,6.09371027057,3
63,5.88978079922,3
63,6.52165822859,3
64,6.28829891055,3
64,4.2969373564,3
64,5.21682882404,3
64,4.11052407851,3
64,5.24701539281,3
64,5.56782222418,3
64,5.57128648786,3
64,6.24834462623,3
64,5.96313942643,3
64,6.12077042118,3
65,5.73905768246,3
65,6.14733759349,3
65,6.49576556486,3
65,7.22834607305,3
65,6.44687184921,3
65,5.73787254244,3
65,5.6922600131,3
65,5.38374764558,3
65,5.93383955855,3
66,6.60078076573,3
66,6.1595697021,3
66,5.84118965912,3
66,5.62412453672,3
66,5.49896297054,3
66,5.46694508354,3
66,5.44121603997,3
66,5.95319795194,3
66,6.42575638174,3
67,6.65888472897,3
67,5.84506112793,3
67,5.31716767596,3
67,5.03855092415,3
67,6.04242656414,3
67,6.60882830105,3
67,6.09890468667,3
67,5.98863227175,3
67,7.10663249057,3
67,5.6667129445,3
68,4.9651279312,3
68,5.71213044658,3
68,6.03355001272,3
68,5.9018865248,3
68,5.27277464137,3
68,5.48114326299,3
68,6.03993605015,3
68,6.974378147,3
68,6.93633741137,3
69,6.10994068265,3
69,7.14019119937,3
69,5.84166021363,3
69,6.51198070157,3
69,6.36085755607,3
69,6.85133897444,3
69,7.03742092649,3
69,6.93209413549,3
69,6.41003194915,3
69,5.69423386503,3
70,5.40126551432,3
70,5.26439422631,3
70,9.43047484576,3
70,5.49544350994,3
70,5.29169375276,3
70,5.12070037212,3
70,5.49012060531,3
70,5.8312440274,3
70,5.42320144268,3
70,5.38297997817,3
71,5.5453217005,3
71,6.02263359189,3
71,5.79999746881,3
71,6.04599571013,3
71,5.88985965402,3
71,6.1229661678,3
71,6.73591905727,3
71,6.471574176,3
71,6.30023342301,3
71,5.95033969773,3
72,7.29242870422,3
72,6.30202274913,3
72,6.75084178975,3
72,6.61386621836,3
72,6.28346289277,3
72,5.22511954989,3
72,5.53567076509,3
72,6.63090262771,3
72,6.19663055065,3
73,6.62174103662,3
73,7.46418268754,3
73,6.23932845707,3
73,7.21935023582,3
73,6.55876250225,3
73,4.58246885169,3
73,4.85155899476,3
73,5.37187499335,3
73,5.90567914003,3
73,4.92155070776,3
74,3.59576256188,3
74,5.09482730011,3
74,5.10807805609,3
74,6.25668677568,3
74,7.37810730467,3
74,6.25669148136,3
74,5.83429083858,3
74,7.70000774138,3
74,6.41498602175,3
75,6.91753416174,3
75,6.53873172942,3
75,3.9929674395,3
76,4.71248795963,3
76,5.47278673604,3
76,5.83660330065,3
76,5.16929842814,3
76,5.55725385313,3
76,7.03399285074,3
76,6.70365793376,3
76,6.26852142522,3
76,6.40219899841,3
76,12.3116247931,3
77,7.27834477939,3
77,6.28495110319,3
77,6.56995185491,3
77,5.76365918728,3
77,6.08067300247,3
77,5.43891110241,3
77,4.8971092939,3
77,5.79820357625,3
77,5.80966098987,3
78,6.32409328099,3
78,7.2456529271,3
78,6.38159604725,3
78,6.79711423319,3
78,7.21196938324,3
78,6.60127375182,3
